code,var,category,group,task,description,keep_model,ibs,performance,variance,num_classes,missing_rate,model,metric,restored_model,AE,features
survival,death,survivals,survivals,survival,,True,0.204,0.6861,,,0.0,as_concordance_index_ipcw_scorer,,False,UNet_UCSF_segm,features
cancer,IDH_glob_bin,cancer,cancer,classification,,True,,0.8387,0.6035,2.0,0.0,RidgeClassifier,f1_weighted,False,UNet_UCSF_segm,features
cancer,grade,cancer,cancer,classification,,True,,0.828,0.9365,3.0,0.0,RidgeClassifier,f1_weighted,False,UNet_UCSF_segm,features
global,Gender,global,global,classification,,True,,0.7312,0.9695,2.0,0.0,RidgeClassifier,f1_weighted,False,UNet_UCSF_segm,features
survival,death,survivals,survivals,survival,,True,0.2017,0.6342,,,0.0,as_concordance_index_ipcw_scorer,,False,UNet_UCSF_segm,radiomics
cancer,IDH_glob_bin,cancer,cancer,classification,,True,,0.8925,0.6035,2.0,0.0,RidgeClassifier,f1_weighted,False,UNet_UCSF_segm,radiomics
cancer,grade,cancer,cancer,classification,,True,,0.8817,0.9365,3.0,0.0,RidgeClassifier,f1_weighted,False,UNet_UCSF_segm,radiomics
global,Gender,global,global,classification,,True,,0.6452,0.9695,2.0,0.0,RidgeClassifier,f1_weighted,False,UNet_UCSF_segm,radiomics
survival,death,survivals,survivals,survival,,True,0.2015,0.6805,,,0.0,as_concordance_index_ipcw_scorer,,False,UNet_UCSF_segm,combined
cancer,IDH_glob_bin,cancer,cancer,classification,,True,,0.8554,0.5927,2.0,0.0,RidgeClassifier,f1_weighted,False,UNet_UCSF_segm,combined
cancer,grade,cancer,cancer,classification,,True,,0.7952,0.9347,3.0,0.0,RidgeClassifier,f1_weighted,False,UNet_UCSF_segm,combined
global,Gender,global,global,classification,,True,,0.6867,0.9686,2.0,0.0,RidgeClassifier,f1_weighted,False,UNet_UCSF_segm,combined
survival,death,survivals,survivals,survival,,True,0.2073,0.6156,,,0.0,as_concordance_index_ipcw_scorer,,False,VAE_UCSF_segm,features
cancer,IDH_glob_bin,cancer,cancer,classification,,True,,0.837,0.6064,2.0,0.0,RidgeClassifier,f1_weighted,False,VAE_UCSF_segm,features
cancer,grade,cancer,cancer,classification,,True,,0.6739,0.9337,3.0,0.0,RidgeClassifier,f1_weighted,False,VAE_UCSF_segm,features
global,Gender,global,global,classification,,True,,0.7391,0.9682,2.0,0.0,RidgeClassifier,f1_weighted,False,VAE_UCSF_segm,features
survival,death,survivals,survivals,survival,,True,0.2055,0.6605,,,0.0,as_concordance_index_ipcw_scorer,,False,VAE_UCSF_segm,combined
cancer,IDH_glob_bin,cancer,cancer,classification,,True,,0.8261,0.6064,2.0,0.0,RidgeClassifier,f1_weighted,False,VAE_UCSF_segm,combined
cancer,grade,cancer,cancer,classification,,True,,0.6739,0.9337,3.0,0.0,RidgeClassifier,f1_weighted,False,VAE_UCSF_segm,combined
global,Gender,global,global,classification,,True,,0.7391,0.9682,2.0,0.0,RidgeClassifier,f1_weighted,False,VAE_UCSF_segm,combined
survival,death,survivals,survivals,survival,,True,0.1898,0.4633,,,0.01,as_concordance_index_ipcw_scorer,,False,UNet_TCGA_segm,features
cancer,IDH_glob_bin,cancer,cancer,classification,,True,,0.5333,0.9344,2.0,0.0,RidgeClassifier,f1_weighted,False,UNet_TCGA_segm,features
global,Gender,global,global,classification,,True,,0.5517,0.9929,2.0,0.04,RidgeClassifier,f1_weighted,False,UNet_TCGA_segm,features
cancer,grade,cancer,cancer,classification,,True,,0.5,0.9758,2.0,0.0,RidgeClassifier,f1_weighted,False,UNet_TCGA_segm,features
survival,death,survivals,survivals,survival,,True,0.1701,0.6232,,,0.01,as_concordance_index_ipcw_scorer,,False,UNet_TCGA_segm,radiomics
cancer,IDH_glob_bin,cancer,cancer,classification,,True,,0.9333,0.9344,2.0,0.0,RidgeClassifier,f1_weighted,False,UNet_TCGA_segm,radiomics
global,Gender,global,global,classification,,True,,0.5172,0.9929,2.0,0.04,RidgeClassifier,f1_weighted,False,UNet_TCGA_segm,radiomics
cancer,grade,cancer,cancer,classification,,True,,0.8667,0.9758,2.0,0.0,RidgeClassifier,f1_weighted,False,UNet_TCGA_segm,radiomics
survival,death,survivals,survivals,survival,,True,0.1795,0.5764,,,0.01,as_concordance_index_ipcw_scorer,,False,UNet_TCGA_segm,combined
cancer,IDH_glob_bin,cancer,cancer,classification,,True,,0.5333,0.9344,2.0,0.0,RidgeClassifier,f1_weighted,False,UNet_TCGA_segm,combined
global,Gender,global,global,classification,,True,,0.5517,0.9929,2.0,0.04,RidgeClassifier,f1_weighted,False,UNet_TCGA_segm,combined
cancer,grade,cancer,cancer,classification,,True,,0.5,0.9758,2.0,0.0,RidgeClassifier,f1_weighted,False,UNet_TCGA_segm,combined
survival,death,survivals,survivals,survival,,True,0.1828,0.5763,,,0.01,as_concordance_index_ipcw_scorer,,False,VAE_TCGA_segm,features
cancer,IDH_glob_bin,cancer,cancer,classification,,True,,0.7667,0.9344,2.0,0.0,RidgeClassifier,f1_weighted,False,VAE_TCGA_segm,features
global,Gender,global,global,classification,,True,,0.8276,0.9929,2.0,0.04,RidgeClassifier,f1_weighted,False,VAE_TCGA_segm,features
cancer,grade,cancer,cancer,classification,,True,,0.6333,0.9758,2.0,0.0,RidgeClassifier,f1_weighted,False,VAE_TCGA_segm,features
survival,death,survivals,survivals,survival,,True,0.1755,0.6067,,,0.01,as_concordance_index_ipcw_scorer,,False,VAE_TCGA_segm,combined
cancer,IDH_glob_bin,cancer,cancer,classification,,True,,0.8,0.9344,2.0,0.0,RidgeClassifier,f1_weighted,False,VAE_TCGA_segm,combined
global,Gender,global,global,classification,,True,,0.8276,0.9929,2.0,0.04,RidgeClassifier,f1_weighted,False,VAE_TCGA_segm,combined
cancer,grade,cancer,cancer,classification,,True,,0.7,0.9758,2.0,0.0,RidgeClassifier,f1_weighted,False,VAE_TCGA_segm,combined
survival,death,survivals,survivals,survival,,True,0.1994,0.5089,,,0.26,as_concordance_index_ipcw_scorer,,False,UNet_UPENN_segm,features
cancer,IDH_glob_bin,cancer,cancer,classification,,True,,0.9712,0.2144,2.0,0.16,RidgeClassifier,f1_weighted,False,UNet_UPENN_segm,features
global,Gender,global,global,classification,,True,,0.6585,0.9719,2.0,0.0,RidgeClassifier,f1_weighted,False,UNet_UPENN_segm,features
survival,death,survivals,survivals,survival,,True,0.1981,0.5442,,,0.26,as_concordance_index_ipcw_scorer,,False,UNet_UPENN_segm,radiomics
cancer,IDH_glob_bin,cancer,cancer,classification,,True,,0.9808,0.2144,2.0,0.16,RidgeClassifier,f1_weighted,False,UNet_UPENN_segm,radiomics
global,Gender,global,global,classification,,True,,0.6585,0.9719,2.0,0.0,RidgeClassifier,f1_weighted,False,UNet_UPENN_segm,radiomics
survival,death,survivals,survivals,survival,,True,0.199,0.5286,,,0.26,as_concordance_index_ipcw_scorer,,False,UNet_UPENN_segm,combined
cancer,IDH_glob_bin,cancer,cancer,classification,,True,,0.9712,0.2144,2.0,0.16,RidgeClassifier,f1_weighted,False,UNet_UPENN_segm,combined
global,Gender,global,global,classification,,True,,0.6585,0.9719,2.0,0.0,RidgeClassifier,f1_weighted,False,UNet_UPENN_segm,combined
survival,death,survivals,survivals,survival,,True,0.1964,0.5571,,,0.26,as_concordance_index_ipcw_scorer,,False,VAE_UPENN_segm,features
cancer,IDH_glob_bin,cancer,cancer,classification,,True,,0.9904,0.2144,2.0,0.16,RidgeClassifier,f1_weighted,False,VAE_UPENN_segm,features
global,Gender,global,global,classification,,True,,0.8455,0.9719,2.0,0.0,RidgeClassifier,f1_weighted,False,VAE_UPENN_segm,features
survival,death,survivals,survivals,survival,,True,0.1962,0.5773,,,0.26,as_concordance_index_ipcw_scorer,,False,VAE_UPENN_segm,combined
cancer,IDH_glob_bin,cancer,cancer,classification,,True,,0.9904,0.2144,2.0,0.16,RidgeClassifier,f1_weighted,False,VAE_UPENN_segm,combined
global,Gender,global,global,classification,,True,,0.8455,0.9719,2.0,0.0,RidgeClassifier,f1_weighted,False,VAE_UPENN_segm,combined
