code,var,category,group,task,description,keep_model,ibs,performance,variance,num_classes,missing_rate,model,metric,restored_model,feat,dataset
survival,death,survivals,survivals,survival,,True,0.193,0.5313,,,0.01,as_concordance_index_ipcw_scorer,,False,combinedAE,TCGA
cancer,IDH_glob_bin,cancer,cancer,classification,,True,,0.5185,0.9408,2.0,0.0,RidgeClassifier,f1_weighted,False,combinedAE,TCGA
global,Sex,global,global,classification,,True,,0.8462,0.9957,2.0,0.05,RidgeClassifier,f1_weighted,False,combinedAE,TCGA
cancer,grade,cancer,cancer,classification,,True,,0.5926,0.9789,2.0,0.0,RidgeClassifier,f1_weighted,False,combinedAE,TCGA
survival,death,survivals,survivals,survival,,True,0.1919,0.5164,,,0.01,as_concordance_index_ipcw_scorer,,False,combinedUNET,TCGA
cancer,IDH_glob_bin,cancer,cancer,classification,,True,,0.7407,0.9408,2.0,0.0,RidgeClassifier,f1_weighted,False,combinedUNET,TCGA
global,Sex,global,global,classification,,True,,0.8077,0.9957,2.0,0.05,RidgeClassifier,f1_weighted,False,combinedUNET,TCGA
cancer,grade,cancer,cancer,classification,,True,,0.6296,0.9789,2.0,0.0,RidgeClassifier,f1_weighted,False,combinedUNET,TCGA
survival,death,survivals,survivals,survival,,True,0.1701,0.6232,,,0.01,as_concordance_index_ipcw_scorer,,False,radiomics,TCGA
cancer,IDH_glob_bin,cancer,cancer,classification,,True,,0.9333,0.9344,2.0,0.0,RidgeClassifier,f1_weighted,False,radiomics,TCGA
global,Sex,global,global,classification,,True,,0.5172,0.9929,2.0,0.04,RidgeClassifier,f1_weighted,False,radiomics,TCGA
cancer,grade,cancer,cancer,classification,,True,,0.8667,0.9758,2.0,0.0,RidgeClassifier,f1_weighted,False,radiomics,TCGA
survival,death,survivals,survivals,survival,,True,0.1966,0.5219,,,0.01,as_concordance_index_ipcw_scorer,,False,tumorAE,TCGA
cancer,IDH_glob_bin,cancer,cancer,classification,,True,,0.5926,0.9408,2.0,0.0,RidgeClassifier,f1_weighted,False,tumorAE,TCGA
