,fold
0,3981998
1,1306545
2,1038156
3,5530663
4,3680093
5,2631940
6,3286025
7,5911108
8,1622101
9,1586598
10,2636020
11,1245047
12,2782057
13,4352167
14,5125008
15,1941924
16,2012881
17,5134214
18,5116541
19,3907021
20,4242618
21,1241255
22,2908441
23,1076134
24,3189963
25,5375805
26,5527263
27,4499312
28,1085762
29,5648156
30,4789780
31,4486328
32,1142871
33,1926784
34,1232845
35,3557245
36,5542584
37,1069319
38,4230154
39,2649375
40,5684923
41,5801630
42,1940590
43,2503819
44,5126068
45,3817083
46,4497908
47,1980130
48,4735348
49,3434946
50,2015217
51,2668219
52,3679947
53,1463784
54,3446880
55,5216941
56,4198920
57,1359327
58,5283150
59,2199757
60,1515517
61,2258103
62,1984175
63,1189298
64,1146239
65,2894370
66,2129574
67,3679260
68,3170556
69,2727504
70,1969616
71,4068392
72,1863011
73,1744835
74,3673707
75,4955164
76,5784289
77,3563395
78,2129176
79,3425442
80,1727404
81,3849069
82,4340451
83,5901327
84,4102580
85,5734492
86,2128562
87,1484614
88,4481078
89,1721619
90,1977386
91,1287739
92,2659400
93,5252106
94,1861188
95,3582933
96,1646351
97,1275115
98,3544250
99,1856651
100,4785765
101,2645351
102,3278331
103,1010576
104,5050761
105,4983471
106,1806145
107,1183110
108,5653929
109,1344204
110,3052141
111,2102401
112,1137117
113,3147957
114,5422667
115,3714267
116,1103883
117,1745042
118,1905314
119,1043602
120,5914454
121,5514595
122,1510767
123,1438865
124,1902430
125,1571095
126,1096361
127,5799079
128,5030900
129,5287396
130,4372592
131,1566436
132,1601467
133,1904774
134,5932130
135,3641753
136,2013324
137,4607695
138,4874038
139,1428894
140,5390321
141,2923855
142,3425849
143,5651177
144,2589363
145,1162284
146,1619073
147,2763342
148,4244805
149,5964193
150,2249318
151,3578908
152,1507947
153,4109893
154,5808553
155,4503164
156,2300781
157,4469574
158,1545107
159,1674375
160,2385340
161,3673382
162,5736790
163,2117553
164,1211423
165,4994050
166,5521359
167,1842264
168,1740961
169,1990824
170,4355907
171,3045754
172,2509492
173,1144993
174,4592225
175,1304677
176,1336314
177,1000987
178,3054076
179,5397819
180,3843876
181,2144148
182,2852419
183,5162072
184,4364041
185,1950823
186,3838457
187,5413017
188,1078730
189,1124797
190,2374725
191,1870301
192,1045813
193,4037856
194,3247872
195,2667458
196,2130436
197,5002961
198,4898423
199,1486216
200,1900361
201,4986298
202,1049716
203,4630093
204,2666275
205,5791604
206,1003808
207,5833011
208,3017630
209,1117505
