variable,split,performance,metric,ibs,variance,num_classes,N,missing_rate,model,restored
dx,1,0.75,f1_weighted,,1.0,2,252,0.0,LogisticRegression,False
dx,2,0.7341,f1_weighted,,1.0,2,252,0.0,LogisticRegression,False
dx,3,0.6548,f1_weighted,,1.0,2,252,0.0,LogisticRegression,False
dx,4,0.753,f1_weighted,,1.0,2,251,0.0,LogisticRegression,False
dx,5,0.7331,f1_weighted,,1.0,2,251,0.0,LogisticRegression,False
Group,1,0.5388,f1_weighted,,1.5409,3,206,0.0,LogisticRegression,False
Group,2,0.5049,f1_weighted,,1.5409,3,206,0.0,LogisticRegression,False
Group,3,0.5583,f1_weighted,,1.5409,3,206,0.0,LogisticRegression,False
Group,4,0.466,f1_weighted,,1.5419,3,206,0.0,LogisticRegression,False
Group,5,0.5243,f1_weighted,,1.5419,3,206,0.0,LogisticRegression,False
Sex,1,0.8316,f1_weighted,,1.0,2,190,0.0,LogisticRegression,False
Sex,2,0.7789,f1_weighted,,1.0,2,190,0.0,LogisticRegression,False
Sex,3,0.7895,f1_weighted,,1.0,2,190,0.0,LogisticRegression,False
Sex,4,0.8526,f1_weighted,,1.0,2,190,0.0,LogisticRegression,False
Sex,5,0.8368,f1_weighted,,1.0,2,190,0.0,LogisticRegression,False
Age,1,0.1936,r2,,1.0369160293690478,,164,0.0,Ridge,False
Age,2,0.3924,r2,,0.989972355200045,,164,0.0,Ridge,False
Age,3,0.2918,r2,,0.9545276243621046,,163,0.0,Ridge,False
Age,4,0.3589,r2,,1.0236872629418658,,163,0.0,Ridge,False
Age,5,0.4339,r2,,0.9928877214260279,,163,0.0,Ridge,False
