variable,split,performance,metric,ibs,variance,num_classes,N,missing_rate,model,restored
dx,1,0.6706,f1_weighted,,1.0,2,252,0.0,LogisticRegression,False
dx,2,0.6706,f1_weighted,,1.0,2,252,0.0,LogisticRegression,False
dx,3,0.6587,f1_weighted,,1.0,2,252,0.0,LogisticRegression,False
dx,4,0.6733,f1_weighted,,1.0,2,251,0.0,LogisticRegression,False
dx,5,0.6255,f1_weighted,,1.0,2,251,0.0,LogisticRegression,False
Group,1,0.4612,f1_weighted,,1.5409,3,206,0.0,LogisticRegression,False
Group,2,0.5,f1_weighted,,1.5409,3,206,0.0,LogisticRegression,False
Group,3,0.5049,f1_weighted,,1.5409,3,206,0.0,LogisticRegression,False
Group,4,0.4854,f1_weighted,,1.5419,3,206,0.0,LogisticRegression,False
Group,5,0.4757,f1_weighted,,1.5419,3,206,0.0,LogisticRegression,False
Sex,1,0.7263,f1_weighted,,1.0,2,190,0.0,LogisticRegression,False
Sex,2,0.7105,f1_weighted,,1.0,2,190,0.0,LogisticRegression,False
Sex,3,0.6632,f1_weighted,,1.0,2,190,0.0,LogisticRegression,False
Sex,4,0.7053,f1_weighted,,1.0,2,190,0.0,LogisticRegression,False
Sex,5,0.7421,f1_weighted,,1.0,2,190,0.0,LogisticRegression,False
Age,1,0.0004,r2,,1.0369160293690478,,164,0.0,Ridge,False
Age,2,0.0827,r2,,0.989972355200045,,164,0.0,Ridge,False
Age,3,0.145,r2,,0.9545276243621046,,163,0.0,Ridge,False
Age,4,0.1963,r2,,1.0236872629418658,,163,0.0,Ridge,False
Age,5,0.0038,r2,,0.9928877214260279,,163,0.0,Ridge,False
