variable,split,performance,metric,ibs,variance,num_classes,N,missing_rate,model,restored
sex,1,0.949,f1_weighted,,1.0,2,98,0.0,LogisticRegression,False
sex,2,0.8878,f1_weighted,,1.0,2,98,0.0,LogisticRegression,False
sex,3,0.8673,f1_weighted,,1.0,2,98,0.0,LogisticRegression,False
sex,4,0.9694,f1_weighted,,1.0,2,98,0.0,LogisticRegression,False
sex,5,0.949,f1_weighted,,1.0,2,98,0.0,LogisticRegression,False
study,1,1.0,f1_weighted,,1.0,2,81,0.0,LogisticRegression,False
study,2,1.0,f1_weighted,,1.0,2,81,0.0,LogisticRegression,False
study,3,1.0,f1_weighted,,1.0,2,81,0.0,LogisticRegression,False
study,4,1.0,f1_weighted,,1.0,2,81,0.0,LogisticRegression,False
study,5,0.9875,f1_weighted,,1.0,2,80,0.0,LogisticRegression,False
age,1,0.5365,r2,,0.9700281406144481,,67,0.0,Ridge,False
age,2,0.5849,r2,,1.0015938256545578,,67,0.0,Ridge,False
age,3,0.633,r2,,0.9690391610083433,,67,0.0,Ridge,False
age,4,0.5965,r2,,0.9912752784617648,,67,0.0,Ridge,False
age,5,0.6629,r2,,0.9928198282705111,,67,0.0,Ridge,False
dx,1,0.6377,f1_weighted,,1.0,2,69,0.0,LogisticRegression,False
dx,2,0.6377,f1_weighted,,1.0,2,69,0.0,LogisticRegression,False
dx,3,0.7647,f1_weighted,,1.0,2,68,0.0,LogisticRegression,False
dx,4,0.7353,f1_weighted,,1.0,2,68,0.0,LogisticRegression,False
dx,5,0.7206,f1_weighted,,1.0,2,68,0.0,LogisticRegression,False
