variable,split,performance,metric,ibs,variance,num_classes,N,missing_rate,model,restored
sex,1,0.8673,f1_weighted,,1.0,2,98,0.0,LogisticRegression,False
sex,2,0.898,f1_weighted,,1.0,2,98,0.0,LogisticRegression,False
sex,3,0.8061,f1_weighted,,1.0,2,98,0.0,LogisticRegression,False
sex,4,0.7449,f1_weighted,,1.0,2,98,0.0,LogisticRegression,False
sex,5,0.8776,f1_weighted,,1.0,2,98,0.0,LogisticRegression,False
study,1,0.9877,f1_weighted,,1.0,2,81,0.0,LogisticRegression,False
study,2,0.963,f1_weighted,,1.0,2,81,0.0,LogisticRegression,False
study,3,0.9877,f1_weighted,,1.0,2,81,0.0,LogisticRegression,False
study,4,0.9877,f1_weighted,,1.0,2,81,0.0,LogisticRegression,False
study,5,0.9625,f1_weighted,,1.0,2,80,0.0,LogisticRegression,False
age,1,0.3293,r2,,0.9700281406144481,,67,0.0,Ridge,False
age,2,0.2728,r2,,1.0015938256545578,,67,0.0,Ridge,False
age,3,0.4116,r2,,0.9690391610083433,,67,0.0,Ridge,False
age,4,0.1222,r2,,0.9912752784617648,,67,0.0,Ridge,False
age,5,0.2438,r2,,0.9928198282705111,,67,0.0,Ridge,False
dx,1,0.5507,f1_weighted,,1.0,2,69,0.0,LogisticRegression,False
dx,2,0.6522,f1_weighted,,1.0,2,69,0.0,LogisticRegression,False
dx,3,0.6176,f1_weighted,,1.0,2,68,0.0,LogisticRegression,False
dx,4,0.6324,f1_weighted,,1.0,2,68,0.0,LogisticRegression,False
dx,5,0.5,f1_weighted,,1.0,2,68,0.0,LogisticRegression,False
