variable,split,performance,metric,ibs,variance,num_classes,N,missing_rate,model,restored
IDH_glob_bin,1,0.9231,f1_weighted,,1.0,2,169,0.0,LogisticRegression,False
IDH_glob_bin,2,0.9527,f1_weighted,,1.0,2,169,0.0,LogisticRegression,False
IDH_glob_bin,3,0.9349,f1_weighted,,1.0,2,169,0.0,LogisticRegression,False
IDH_glob_bin,4,0.9527,f1_weighted,,1.0,2,169,0.0,LogisticRegression,False
IDH_glob_bin,5,0.9643,f1_weighted,,1.0,2,168,0.0,LogisticRegression,False
Sex,1,0.8571,f1_weighted,,1.0,2,119,0.0,LogisticRegression,False
Sex,2,0.8403,f1_weighted,,1.0,2,119,0.0,LogisticRegression,False
Sex,3,0.839,f1_weighted,,1.0,2,118,0.0,LogisticRegression,False
Sex,4,0.8051,f1_weighted,,1.0,2,118,0.0,LogisticRegression,False
Sex,5,0.8475,f1_weighted,,1.0,2,118,0.0,LogisticRegression,False
death,1,0.6966,,0.20402341349482916,,,99,0.0,RandomSurvivalForest,False
death,2,0.6721,,0.19644231883961258,,,99,0.0,RandomSurvivalForest,False
death,3,0.6551,,0.19459767553433738,,,99,0.0,RandomSurvivalForest,False
death,4,0.7252,,0.21141104950144352,,,98,0.0,RandomSurvivalForest,False
death,5,0.6935,,0.2142855868603663,,,98,0.0,RandomSurvivalForest,False
