variable,split,performance,metric,ibs,variance,num_classes,N,missing_rate,model,restored
Volumetric_scaling_from_T1_head_image_to_standard_space,1,0.5332,r2,,1.0032816539328733,,3991,0.0,Ridge,False
Volumetric_scaling_from_T1_head_image_to_standard_space,2,0.5215,r2,,0.9980373991306021,,3991,0.0,Ridge,False
Volumetric_scaling_from_T1_head_image_to_standard_space,3,0.5239,r2,,0.998822632637593,,3991,0.0,Ridge,False
Volumetric_scaling_from_T1_head_image_to_standard_space,4,0.4981,r2,,0.9946060995534707,,3991,0.0,Ridge,False
Volumetric_scaling_from_T1_head_image_to_standard_space,5,0.5047,r2,,1.0054269740370327,,3991,0.0,Ridge,False
APOE,1,0.4215,f1_weighted,,1.5119,3,5701,0.0,LogisticRegression,False
APOE,2,0.444,f1_weighted,,1.5119,3,5701,0.0,LogisticRegression,False
APOE,3,0.428,f1_weighted,,1.5119,3,5701,0.0,LogisticRegression,False
APOE,4,0.4287,f1_weighted,,1.5119,3,5701,0.0,LogisticRegression,False
APOE,5,0.4362,f1_weighted,,1.5119,3,5701,0.0,LogisticRegression,False
DISC1,1,0.5457,f1_weighted,,1.4364,3,6899,0.0,LogisticRegression,False
DISC1,2,0.5534,f1_weighted,,1.4364,3,6899,0.0,LogisticRegression,False
DISC1,3,0.5502,f1_weighted,,1.4363,3,6898,0.0,LogisticRegression,False
DISC1,4,0.5448,f1_weighted,,1.4364,3,6898,0.0,LogisticRegression,False
DISC1,5,0.5449,f1_weighted,,1.4363,3,6898,0.0,LogisticRegression,False
MTHFR,1,0.3651,f1_weighted,,1.585,3,5330,0.0,LogisticRegression,False
MTHFR,2,0.3629,f1_weighted,,1.585,3,5330,0.0,LogisticRegression,False
MTHFR,3,0.3589,f1_weighted,,1.585,3,5330,0.0,LogisticRegression,False
MTHFR,4,0.346,f1_weighted,,1.585,3,5329,0.0,LogisticRegression,False
MTHFR,5,0.3612,f1_weighted,,1.585,3,5329,0.0,LogisticRegression,False
CR1,1,0.4907,f1_weighted,,1.4951,3,6558,0.0,LogisticRegression,False
CR1,2,0.4935,f1_weighted,,1.4951,3,6557,0.0,LogisticRegression,False
CR1,3,0.4836,f1_weighted,,1.4951,3,6557,0.0,LogisticRegression,False
CR1,4,0.4903,f1_weighted,,1.4951,3,6557,0.0,LogisticRegression,False
CR1,5,0.4769,f1_weighted,,1.4951,3,6557,0.0,LogisticRegression,False
BIN1,1,0.4013,f1_weighted,,1.5749,3,5747,0.0,LogisticRegression,False
BIN1,2,0.399,f1_weighted,,1.5749,3,5747,0.0,LogisticRegression,False
BIN1,3,0.391,f1_weighted,,1.5749,3,5747,0.0,LogisticRegression,False
BIN1,4,0.4013,f1_weighted,,1.5749,3,5747,0.0,LogisticRegression,False
BIN1,5,0.3929,f1_weighted,,1.5749,3,5747,0.0,LogisticRegression,False
ZNF804A,1,0.3769,f1_weighted,,1.5736,3,5333,0.0,LogisticRegression,False
ZNF804A,2,0.3754,f1_weighted,,1.5736,3,5333,0.0,LogisticRegression,False
ZNF804A,3,0.3745,f1_weighted,,1.5736,3,5332,0.0,LogisticRegression,False
ZNF804A,4,0.3706,f1_weighted,,1.5736,3,5332,0.0,LogisticRegression,False
ZNF804A,5,0.3892,f1_weighted,,1.5736,3,5332,0.0,LogisticRegression,False
TRANK1,1,0.428,f1_weighted,,1.5163,3,5080,0.0,LogisticRegression,False
TRANK1,2,0.4156,f1_weighted,,1.5163,3,5080,0.0,LogisticRegression,False
TRANK1,3,0.4187,f1_weighted,,1.5163,3,5080,0.0,LogisticRegression,False
TRANK1,4,0.4205,f1_weighted,,1.5163,3,5080,0.0,LogisticRegression,False
TRANK1,5,0.4187,f1_weighted,,1.5163,3,5080,0.0,LogisticRegression,False
SNCA,1,0.3635,f1_weighted,,1.5805,3,5573,0.0,LogisticRegression,False
SNCA,2,0.3919,f1_weighted,,1.5805,3,5573,0.0,LogisticRegression,False
SNCA,3,0.3691,f1_weighted,,1.5805,3,5573,0.0,LogisticRegression,False
SNCA,4,0.3756,f1_weighted,,1.5805,3,5572,0.0,LogisticRegression,False
SNCA,5,0.3744,f1_weighted,,1.5805,3,5572,0.0,LogisticRegression,False
IL7R,1,0.4042,f1_weighted,,1.5704,3,5848,0.0,LogisticRegression,False
IL7R,2,0.4074,f1_weighted,,1.5704,3,5847,0.0,LogisticRegression,False
IL7R,3,0.4082,f1_weighted,,1.5704,3,5847,0.0,LogisticRegression,False
IL7R,4,0.4089,f1_weighted,,1.5704,3,5847,0.0,LogisticRegression,False
IL7R,5,0.4267,f1_weighted,,1.5704,3,5847,0.0,LogisticRegression,False
