variable,split,performance,metric,ibs,variance,num_classes,N,missing_rate,model,restored
Volumetric_scaling_from_T1_head_image_to_standard_space,1,-0.2455,r2,,1.0032816539328733,,3991,0.0,Ridge,False
Volumetric_scaling_from_T1_head_image_to_standard_space,2,-0.2518,r2,,0.9980373991306021,,3991,0.0,Ridge,False
Volumetric_scaling_from_T1_head_image_to_standard_space,3,-0.2534,r2,,0.998822632637593,,3991,0.0,Ridge,False
Volumetric_scaling_from_T1_head_image_to_standard_space,4,-0.2051,r2,,0.9946060995534707,,3991,0.0,Ridge,False
Volumetric_scaling_from_T1_head_image_to_standard_space,5,-0.2631,r2,,1.0054269740370327,,3991,0.0,Ridge,False
APOE,1,0.5543,f1_weighted,,1.5119,3,5701,0.0,LogisticRegression,False
APOE,2,0.5574,f1_weighted,,1.5119,3,5701,0.0,LogisticRegression,False
APOE,3,0.5503,f1_weighted,,1.5119,3,5701,0.0,LogisticRegression,False
APOE,4,0.555,f1_weighted,,1.5119,3,5701,0.0,LogisticRegression,False
APOE,5,0.5517,f1_weighted,,1.5119,3,5701,0.0,LogisticRegression,False
DISC1,1,0.8246,f1_weighted,,1.4364,3,6899,0.0,LogisticRegression,False
DISC1,2,0.822,f1_weighted,,1.4364,3,6899,0.0,LogisticRegression,False
DISC1,3,0.8198,f1_weighted,,1.4363,3,6898,0.0,LogisticRegression,False
DISC1,4,0.813,f1_weighted,,1.4364,3,6898,0.0,LogisticRegression,False
DISC1,5,0.8223,f1_weighted,,1.4363,3,6898,0.0,LogisticRegression,False
MTHFR,1,0.5216,f1_weighted,,1.585,3,5330,0.0,LogisticRegression,False
MTHFR,2,0.5105,f1_weighted,,1.585,3,5330,0.0,LogisticRegression,False
MTHFR,3,0.5227,f1_weighted,,1.585,3,5330,0.0,LogisticRegression,False
MTHFR,4,0.5217,f1_weighted,,1.585,3,5329,0.0,LogisticRegression,False
MTHFR,5,0.5271,f1_weighted,,1.585,3,5329,0.0,LogisticRegression,False
CR1,1,0.7368,f1_weighted,,1.4951,3,6558,0.0,LogisticRegression,False
CR1,2,0.7394,f1_weighted,,1.4951,3,6557,0.0,LogisticRegression,False
CR1,3,0.732,f1_weighted,,1.4951,3,6557,0.0,LogisticRegression,False
CR1,4,0.7506,f1_weighted,,1.4951,3,6557,0.0,LogisticRegression,False
CR1,5,0.7343,f1_weighted,,1.4951,3,6557,0.0,LogisticRegression,False
BIN1,1,0.6031,f1_weighted,,1.5749,3,5747,0.0,LogisticRegression,False
BIN1,2,0.6125,f1_weighted,,1.5749,3,5747,0.0,LogisticRegression,False
BIN1,3,0.6116,f1_weighted,,1.5749,3,5747,0.0,LogisticRegression,False
BIN1,4,0.6163,f1_weighted,,1.5749,3,5747,0.0,LogisticRegression,False
BIN1,5,0.6085,f1_weighted,,1.5749,3,5747,0.0,LogisticRegression,False
ZNF804A,1,0.4975,f1_weighted,,1.5736,3,5333,0.0,LogisticRegression,False
ZNF804A,2,0.4918,f1_weighted,,1.5736,3,5333,0.0,LogisticRegression,False
ZNF804A,3,0.4976,f1_weighted,,1.5736,3,5332,0.0,LogisticRegression,False
ZNF804A,4,0.5049,f1_weighted,,1.5736,3,5332,0.0,LogisticRegression,False
ZNF804A,5,0.5039,f1_weighted,,1.5736,3,5332,0.0,LogisticRegression,False
TRANK1,1,0.4703,f1_weighted,,1.5163,3,5080,0.0,LogisticRegression,False
TRANK1,2,0.4709,f1_weighted,,1.5163,3,5080,0.0,LogisticRegression,False
TRANK1,3,0.4744,f1_weighted,,1.5163,3,5080,0.0,LogisticRegression,False
TRANK1,4,0.4679,f1_weighted,,1.5163,3,5080,0.0,LogisticRegression,False
TRANK1,5,0.4715,f1_weighted,,1.5163,3,5080,0.0,LogisticRegression,False
SNCA,1,0.5772,f1_weighted,,1.5805,3,5573,0.0,LogisticRegression,False
SNCA,2,0.5656,f1_weighted,,1.5805,3,5573,0.0,LogisticRegression,False
SNCA,3,0.5616,f1_weighted,,1.5805,3,5573,0.0,LogisticRegression,False
SNCA,4,0.5775,f1_weighted,,1.5805,3,5572,0.0,LogisticRegression,False
SNCA,5,0.5747,f1_weighted,,1.5805,3,5572,0.0,LogisticRegression,False
IL7R,1,0.6206,f1_weighted,,1.5704,3,5848,0.0,LogisticRegression,False
IL7R,2,0.6241,f1_weighted,,1.5704,3,5847,0.0,LogisticRegression,False
IL7R,3,0.6189,f1_weighted,,1.5704,3,5847,0.0,LogisticRegression,False
IL7R,4,0.6237,f1_weighted,,1.5704,3,5847,0.0,LogisticRegression,False
IL7R,5,0.6148,f1_weighted,,1.5704,3,5847,0.0,LogisticRegression,False
PRKN,1,0.9989,f1_weighted,,1.0,2,7922,0.0,LogisticRegression,False
PRKN,2,0.9994,f1_weighted,,1.0,2,7922,0.0,LogisticRegression,False
