variable,split,performance,metric,ibs,variance,num_classes,N,missing_rate,model,restored
IDH_glob_bin,1,1.0,f1_weighted,,1.0,2,200,0.16,LogisticRegression,False
IDH_glob_bin,2,0.995,f1_weighted,,1.0,2,200,0.16,LogisticRegression,False
IDH_glob_bin,3,0.99,f1_weighted,,1.0,2,200,0.16,LogisticRegression,False
IDH_glob_bin,4,1.0,f1_weighted,,1.0,2,199,0.16,LogisticRegression,False
IDH_glob_bin,5,0.995,f1_weighted,,1.0,2,199,0.16,LogisticRegression,False
Gender,1,0.8299,f1_weighted,,1.0,2,147,0.0,LogisticRegression,False
Gender,2,0.932,f1_weighted,,1.0,2,147,0.0,LogisticRegression,False
Gender,3,0.8231,f1_weighted,,1.0,2,147,0.0,LogisticRegression,False
Gender,4,0.8639,f1_weighted,,1.0,2,147,0.0,LogisticRegression,False
Gender,5,0.8493,f1_weighted,,1.0,2,146,0.0,LogisticRegression,False
death,1,0.6108,,0.19378800374298824,,,91,0.26,RandomSurvivalForest,False
death,2,0.5725,,0.17829884487787845,,,91,0.26,RandomSurvivalForest,False
death,3,0.6063,,0.17632949776453594,,,90,0.26,RandomSurvivalForest,False
death,4,0.5863,,0.18907320948579528,,,90,0.26,RandomSurvivalForest,False
death,5,0.6187,,0.18300346293832637,,,90,0.26,RandomSurvivalForest,False
