variable,split,performance,metric,ibs,variance,num_classes,N,missing_rate,model,restored
IDH_glob_bin,1,0.97,f1_weighted,,1.0,2,200,0.16,LogisticRegression,False
IDH_glob_bin,2,0.98,f1_weighted,,1.0,2,200,0.16,LogisticRegression,False
IDH_glob_bin,3,0.975,f1_weighted,,1.0,2,200,0.16,LogisticRegression,False
IDH_glob_bin,4,0.9899,f1_weighted,,1.0,2,199,0.16,LogisticRegression,False
IDH_glob_bin,5,0.9899,f1_weighted,,1.0,2,199,0.16,LogisticRegression,False
Gender,1,0.9048,f1_weighted,,1.0,2,147,0.0,LogisticRegression,False
Gender,2,0.8776,f1_weighted,,1.0,2,147,0.0,LogisticRegression,False
Gender,3,0.8435,f1_weighted,,1.0,2,147,0.0,LogisticRegression,False
Gender,4,0.8503,f1_weighted,,1.0,2,147,0.0,LogisticRegression,False
Gender,5,0.8699,f1_weighted,,1.0,2,146,0.0,LogisticRegression,False
death,1,0.6246,,0.19706390527194778,,,91,0.26,RandomSurvivalForest,False
death,2,0.5445,,0.17887102452033532,,,91,0.26,RandomSurvivalForest,False
death,3,0.5506,,0.17684983916756386,,,90,0.26,RandomSurvivalForest,False
death,4,0.5745,,0.18905326980537107,,,90,0.26,RandomSurvivalForest,False
death,5,0.5948,,0.17875414533469516,,,90,0.26,RandomSurvivalForest,False
