variable,split,performance,metric,ibs,variance,num_classes,N,missing_rate,model,restored
dx,1,0.8095,f1_weighted,,1.0,2,252,0.0,RidgeClassifier,False
dx,2,0.7897,f1_weighted,,1.0,2,252,0.0,RidgeClassifier,False
dx,3,0.7817,f1_weighted,,1.0,2,252,0.0,RidgeClassifier,False
dx,4,0.7849,f1_weighted,,1.0,2,251,0.0,RidgeClassifier,False
dx,5,0.7689,f1_weighted,,1.0,2,251,0.0,RidgeClassifier,False
Group,1,0.5437,f1_weighted,,1.5409,3,206,0.0,RidgeClassifier,False
Group,2,0.5049,f1_weighted,,1.5409,3,206,0.0,RidgeClassifier,False
Group,3,0.5728,f1_weighted,,1.5409,3,206,0.0,RidgeClassifier,False
Group,4,0.534,f1_weighted,,1.5419,3,206,0.0,RidgeClassifier,False
Group,5,0.5146,f1_weighted,,1.5419,3,206,0.0,RidgeClassifier,False
sex,1,0.7158,f1_weighted,,1.0,2,190,0.0,RidgeClassifier,False
sex,2,0.7053,f1_weighted,,1.0,2,190,0.0,RidgeClassifier,False
sex,3,0.6579,f1_weighted,,1.0,2,190,0.0,RidgeClassifier,False
sex,4,0.7421,f1_weighted,,1.0,2,190,0.0,RidgeClassifier,False
sex,5,0.6789,f1_weighted,,1.0,2,190,0.0,RidgeClassifier,False
Age,1,0.0651,r2,,1.0369160293690478,,164,0.0,Ridge,False
Age,2,0.178,r2,,0.989972355200045,,164,0.0,Ridge,False
Age,3,0.0258,r2,,0.9545276243621046,,163,0.0,Ridge,False
Age,4,0.0632,r2,,1.0236872629418658,,163,0.0,Ridge,False
Age,5,0.1359,r2,,0.9928877214260279,,163,0.0,Ridge,False
