variable,split,performance,metric,ibs,variance,num_classes,N,missing_rate,model,restored
dx,1,0.8929,f1_weighted,,1.0,2,252,0.0,RidgeClassifier,False
dx,2,0.873,f1_weighted,,1.0,2,252,0.0,RidgeClassifier,False
dx,3,0.869,f1_weighted,,1.0,2,252,0.0,RidgeClassifier,False
dx,4,0.8725,f1_weighted,,1.0,2,251,0.0,RidgeClassifier,False
dx,5,0.8606,f1_weighted,,1.0,2,251,0.0,RidgeClassifier,False
Group,1,0.5388,f1_weighted,,1.5409,3,206,0.0,RidgeClassifier,False
Group,2,0.6019,f1_weighted,,1.5409,3,206,0.0,RidgeClassifier,False
Group,3,0.6359,f1_weighted,,1.5409,3,206,0.0,RidgeClassifier,False
Group,4,0.5583,f1_weighted,,1.5419,3,206,0.0,RidgeClassifier,False
Group,5,0.5291,f1_weighted,,1.5419,3,206,0.0,RidgeClassifier,False
sex,1,0.6316,f1_weighted,,1.0,2,190,0.0,RidgeClassifier,False
sex,2,0.6263,f1_weighted,,1.0,2,190,0.0,RidgeClassifier,False
sex,3,0.6105,f1_weighted,,1.0,2,190,0.0,RidgeClassifier,False
sex,4,0.6105,f1_weighted,,1.0,2,190,0.0,RidgeClassifier,False
sex,5,0.6211,f1_weighted,,1.0,2,190,0.0,RidgeClassifier,False
Age,1,-0.4201,r2,,1.0369160293690478,,164,0.0,Ridge,False
Age,2,-0.1867,r2,,0.989972355200045,,164,0.0,Ridge,False
Age,3,-0.2755,r2,,0.9545276243621046,,163,0.0,Ridge,False
Age,4,-0.2891,r2,,1.0236872629418658,,163,0.0,Ridge,False
Age,5,-0.2275,r2,,0.9928877214260279,,163,0.0,Ridge,False
