variable,split,performance,metric,ibs,variance,num_classes,N,missing_rate,model,restored
death,1,0.548,,0.2871529836650959,,,34,0.01,RandomSurvivalForest,False
death,2,0.674,,0.2182772350918001,,,33,0.01,RandomSurvivalForest,False
death,3,0.5704,,0.18571642278872252,,,33,0.01,RandomSurvivalForest,False
death,4,0.6304,,0.1852069351358556,,,33,0.01,RandomSurvivalForest,False
death,5,0.7561,,0.2355854550685303,,,33,0.01,RandomSurvivalForest,False
IDH_glob_bin,1,0.8667,f1_weighted,,1.0,2,45,0.0,RidgeClassifier,False
IDH_glob_bin,2,0.7778,f1_weighted,,1.0,2,45,0.0,RidgeClassifier,False
IDH_glob_bin,3,0.8864,f1_weighted,,1.0,2,44,0.0,RidgeClassifier,False
IDH_glob_bin,4,0.8409,f1_weighted,,1.0,2,44,0.0,RidgeClassifier,False
IDH_glob_bin,5,0.9091,f1_weighted,,1.0,2,44,0.0,RidgeClassifier,False
sex,1,0.6286,f1_weighted,,1.0,2,35,0.04,RidgeClassifier,False
sex,2,0.7714,f1_weighted,,1.0,2,35,0.04,RidgeClassifier,False
sex,3,0.6,f1_weighted,,1.0,2,35,0.04,RidgeClassifier,False
sex,4,0.7143,f1_weighted,,1.0,2,35,0.04,RidgeClassifier,False
sex,5,0.8529,f1_weighted,,1.0,2,34,0.04,RidgeClassifier,False
grade,1,0.7561,f1_weighted,,1.0,2,41,0.0,RidgeClassifier,False
grade,2,0.878,f1_weighted,,1.0,2,41,0.0,RidgeClassifier,False
grade,3,0.878,f1_weighted,,1.0,2,41,0.0,RidgeClassifier,False
grade,4,0.9512,f1_weighted,,1.0,2,41,0.0,RidgeClassifier,False
grade,5,0.85,f1_weighted,,1.0,2,40,0.0,RidgeClassifier,False
