variable,split,performance,metric,ibs,variance,num_classes,N,missing_rate,model,restored
Volumetric_scaling_from_T1_head_image_to_standard_space,1,0.8856,r2,,1.0032816539328733,,3991,0.0,Ridge,False
Volumetric_scaling_from_T1_head_image_to_standard_space,2,0.888,r2,,0.9980373991306021,,3991,0.0,Ridge,False
Volumetric_scaling_from_T1_head_image_to_standard_space,3,0.8894,r2,,0.998822632637593,,3991,0.0,Ridge,False
Volumetric_scaling_from_T1_head_image_to_standard_space,4,0.8068,r2,,0.9946060995534707,,3991,0.0,Ridge,False
Volumetric_scaling_from_T1_head_image_to_standard_space,5,0.8498,r2,,1.0054269740370327,,3991,0.0,Ridge,False
APOE,1,0.4876,f1_weighted,,1.5119,3,5701,0.0,RidgeClassifier,False
APOE,2,0.4897,f1_weighted,,1.5119,3,5701,0.0,RidgeClassifier,False
APOE,3,0.5006,f1_weighted,,1.5119,3,5701,0.0,RidgeClassifier,False
APOE,4,0.4936,f1_weighted,,1.5119,3,5701,0.0,RidgeClassifier,False
APOE,5,0.4892,f1_weighted,,1.5119,3,5701,0.0,RidgeClassifier,False
DISC1,1,0.7642,f1_weighted,,1.4364,3,6899,0.0,RidgeClassifier,False
DISC1,2,0.77,f1_weighted,,1.4364,3,6899,0.0,RidgeClassifier,False
DISC1,3,0.7536,f1_weighted,,1.4363,3,6898,0.0,RidgeClassifier,False
DISC1,4,0.7595,f1_weighted,,1.4364,3,6898,0.0,RidgeClassifier,False
DISC1,5,0.7573,f1_weighted,,1.4363,3,6898,0.0,RidgeClassifier,False
MTHFR,1,0.4379,f1_weighted,,1.585,3,5330,0.0,RidgeClassifier,False
MTHFR,2,0.4355,f1_weighted,,1.585,3,5330,0.0,RidgeClassifier,False
MTHFR,3,0.4371,f1_weighted,,1.585,3,5330,0.0,RidgeClassifier,False
MTHFR,4,0.4322,f1_weighted,,1.585,3,5329,0.0,RidgeClassifier,False
MTHFR,5,0.4263,f1_weighted,,1.585,3,5329,0.0,RidgeClassifier,False
CR1,1,0.6641,f1_weighted,,1.4951,3,6558,0.0,RidgeClassifier,False
CR1,2,0.6723,f1_weighted,,1.4951,3,6557,0.0,RidgeClassifier,False
CR1,3,0.6681,f1_weighted,,1.4951,3,6557,0.0,RidgeClassifier,False
CR1,4,0.6623,f1_weighted,,1.4951,3,6557,0.0,RidgeClassifier,False
CR1,5,0.67,f1_weighted,,1.4951,3,6557,0.0,RidgeClassifier,False
BIN1,1,0.4923,f1_weighted,,1.5749,3,5747,0.0,RidgeClassifier,False
BIN1,2,0.4949,f1_weighted,,1.5749,3,5747,0.0,RidgeClassifier,False
BIN1,3,0.4968,f1_weighted,,1.5749,3,5747,0.0,RidgeClassifier,False
BIN1,4,0.4968,f1_weighted,,1.5749,3,5747,0.0,RidgeClassifier,False
BIN1,5,0.4912,f1_weighted,,1.5749,3,5747,0.0,RidgeClassifier,False
ZNF804A,1,0.432,f1_weighted,,1.5736,3,5333,0.0,RidgeClassifier,False
ZNF804A,2,0.4303,f1_weighted,,1.5736,3,5333,0.0,RidgeClassifier,False
ZNF804A,3,0.4263,f1_weighted,,1.5736,3,5332,0.0,RidgeClassifier,False
ZNF804A,4,0.4315,f1_weighted,,1.5736,3,5332,0.0,RidgeClassifier,False
ZNF804A,5,0.4347,f1_weighted,,1.5736,3,5332,0.0,RidgeClassifier,False
TRANK1,1,0.4539,f1_weighted,,1.5163,3,5080,0.0,RidgeClassifier,False
TRANK1,2,0.4604,f1_weighted,,1.5163,3,5080,0.0,RidgeClassifier,False
TRANK1,3,0.451,f1_weighted,,1.5163,3,5080,0.0,RidgeClassifier,False
TRANK1,4,0.449,f1_weighted,,1.5163,3,5080,0.0,RidgeClassifier,False
TRANK1,5,0.45,f1_weighted,,1.5163,3,5080,0.0,RidgeClassifier,False
