variable,split,performance,metric,ibs,variance,num_classes,N,missing_rate,model,restored
IDH_glob_bin,1,0.99,f1_weighted,,1.0,2,200,0.16,RidgeClassifier,False
IDH_glob_bin,2,0.99,f1_weighted,,1.0,2,200,0.16,RidgeClassifier,False
IDH_glob_bin,3,0.975,f1_weighted,,1.0,2,200,0.16,RidgeClassifier,False
IDH_glob_bin,4,0.9899,f1_weighted,,1.0,2,199,0.16,RidgeClassifier,False
IDH_glob_bin,5,1.0,f1_weighted,,1.0,2,199,0.16,RidgeClassifier,False
death,1,0.6447,,0.19093865996472112,,,91,0.26,RandomSurvivalForest,False
death,2,0.5583,,0.17661848767720204,,,91,0.26,RandomSurvivalForest,False
death,3,0.5811,,0.17428871918311678,,,90,0.26,RandomSurvivalForest,False
death,4,0.539,,0.18896769463629848,,,90,0.26,RandomSurvivalForest,False
death,5,0.5843,,0.18108121835130755,,,90,0.26,RandomSurvivalForest,False
sex,1,0.7211,f1_weighted,,1.0,2,147,0.0,RidgeClassifier,False
sex,2,0.7891,f1_weighted,,1.0,2,147,0.0,RidgeClassifier,False
sex,3,0.7551,f1_weighted,,1.0,2,147,0.0,RidgeClassifier,False
sex,4,0.7415,f1_weighted,,1.0,2,147,0.0,RidgeClassifier,False
sex,5,0.726,f1_weighted,,1.0,2,146,0.0,RidgeClassifier,False
