variable,split,performance,metric,ibs,variance,num_classes,N,missing_rate,model,restored
dx,1,0.8889,f1_weighted,,1.0,2,252,0.0,LogisticRegression,False
dx,2,0.877,f1_weighted,,1.0,2,252,0.0,LogisticRegression,False
dx,3,0.877,f1_weighted,,1.0,2,252,0.0,LogisticRegression,False
dx,4,0.8685,f1_weighted,,1.0,2,251,0.0,LogisticRegression,False
dx,5,0.8805,f1_weighted,,1.0,2,251,0.0,LogisticRegression,False
Group,1,0.568,f1_weighted,,1.5409,3,206,0.0,LogisticRegression,False
Group,2,0.5728,f1_weighted,,1.5409,3,206,0.0,LogisticRegression,False
Group,3,0.6214,f1_weighted,,1.5409,3,206,0.0,LogisticRegression,False
Group,4,0.5534,f1_weighted,,1.5419,3,206,0.0,LogisticRegression,False
Group,5,0.5971,f1_weighted,,1.5419,3,206,0.0,LogisticRegression,False
Sex,1,0.8474,f1_weighted,,1.0,2,190,0.0,LogisticRegression,False
Sex,2,0.8,f1_weighted,,1.0,2,190,0.0,LogisticRegression,False
Sex,3,0.8211,f1_weighted,,1.0,2,190,0.0,LogisticRegression,False
Sex,4,0.8053,f1_weighted,,1.0,2,190,0.0,LogisticRegression,False
Sex,5,0.8211,f1_weighted,,1.0,2,190,0.0,LogisticRegression,False
Age,1,0.0992,r2,,1.0369160293690478,,164,0.0,Ridge,False
Age,2,0.2158,r2,,0.989972355200045,,164,0.0,Ridge,False
Age,3,0.3013,r2,,0.9545276243621046,,163,0.0,Ridge,False
Age,4,0.1879,r2,,1.0236872629418658,,163,0.0,Ridge,False
Age,5,0.1937,r2,,0.9928877214260279,,163,0.0,Ridge,False
