variable,split,performance,metric,ibs,variance,num_classes,N,missing_rate,model,restored
dx,1,0.881,f1_weighted,,1.0,2,252,0.0,LogisticRegression,False
dx,2,0.869,f1_weighted,,1.0,2,252,0.0,LogisticRegression,False
dx,3,0.9008,f1_weighted,,1.0,2,252,0.0,LogisticRegression,False
dx,4,0.8924,f1_weighted,,1.0,2,251,0.0,LogisticRegression,False
dx,5,0.8446,f1_weighted,,1.0,2,251,0.0,LogisticRegression,False
Group,1,0.5825,f1_weighted,,1.5409,3,206,0.0,LogisticRegression,False
Group,2,0.6068,f1_weighted,,1.5409,3,206,0.0,LogisticRegression,False
Group,3,0.5388,f1_weighted,,1.5409,3,206,0.0,LogisticRegression,False
Group,4,0.5874,f1_weighted,,1.5419,3,206,0.0,LogisticRegression,False
Group,5,0.5971,f1_weighted,,1.5419,3,206,0.0,LogisticRegression,False
Sex,1,0.5947,f1_weighted,,1.0,2,190,0.0,LogisticRegression,False
Sex,2,0.6421,f1_weighted,,1.0,2,190,0.0,LogisticRegression,False
Sex,3,0.5632,f1_weighted,,1.0,2,190,0.0,LogisticRegression,False
Sex,4,0.6158,f1_weighted,,1.0,2,190,0.0,LogisticRegression,False
Sex,5,0.6158,f1_weighted,,1.0,2,190,0.0,LogisticRegression,False
Age,1,-0.4338,r2,,1.0369160293690478,,164,0.0,Ridge,False
Age,2,-0.2531,r2,,0.989972355200045,,164,0.0,Ridge,False
Age,3,-0.2082,r2,,0.9545276243621046,,163,0.0,Ridge,False
Age,4,-0.4796,r2,,1.0236872629418658,,163,0.0,Ridge,False
Age,5,-0.3155,r2,,0.9928877214260279,,163,0.0,Ridge,False
