variable,split,performance,metric,ibs,variance,num_classes,N,missing_rate,model,restored
dx,1,0.8571,f1_weighted,,1.0,2,252,0.0,LogisticRegression,False
dx,2,0.8333,f1_weighted,,1.0,2,252,0.0,LogisticRegression,False
dx,3,0.8611,f1_weighted,,1.0,2,252,0.0,LogisticRegression,False
dx,4,0.8606,f1_weighted,,1.0,2,251,0.0,LogisticRegression,False
dx,5,0.9124,f1_weighted,,1.0,2,251,0.0,LogisticRegression,False
Group,1,0.5583,f1_weighted,,1.5409,3,206,0.0,LogisticRegression,False
Group,2,0.6019,f1_weighted,,1.5409,3,206,0.0,LogisticRegression,False
Group,3,0.6262,f1_weighted,,1.5409,3,206,0.0,LogisticRegression,False
Group,4,0.6019,f1_weighted,,1.5419,3,206,0.0,LogisticRegression,False
Group,5,0.5583,f1_weighted,,1.5419,3,206,0.0,LogisticRegression,False
Sex,1,0.6,f1_weighted,,1.0,2,190,0.0,LogisticRegression,False
Sex,2,0.6211,f1_weighted,,1.0,2,190,0.0,LogisticRegression,False
Sex,3,0.6421,f1_weighted,,1.0,2,190,0.0,LogisticRegression,False
Sex,4,0.6,f1_weighted,,1.0,2,190,0.0,LogisticRegression,False
Sex,5,0.6105,f1_weighted,,1.0,2,190,0.0,LogisticRegression,False
Age,1,-0.3694,r2,,1.0369160293690478,,164,0.0,Ridge,False
Age,2,-0.2679,r2,,0.989972355200045,,164,0.0,Ridge,False
Age,3,-0.1607,r2,,0.9545276243621046,,163,0.0,Ridge,False
Age,4,-0.3149,r2,,1.0236872629418658,,163,0.0,Ridge,False
Age,5,-0.2035,r2,,0.9928877214260279,,163,0.0,Ridge,False
