variable,split,performance,metric,ibs,variance,num_classes,N,missing_rate,model,restored
sex,1,0.9388,f1_weighted,,1.0,2,98,0.0,LogisticRegression,False
sex,2,0.9592,f1_weighted,,1.0,2,98,0.0,LogisticRegression,False
sex,3,0.8265,f1_weighted,,1.0,2,98,0.0,LogisticRegression,False
sex,4,0.9082,f1_weighted,,1.0,2,98,0.0,LogisticRegression,False
sex,5,0.9286,f1_weighted,,1.0,2,98,0.0,LogisticRegression,False
study,1,0.7901,f1_weighted,,1.0,2,81,0.0,LogisticRegression,False
study,2,0.7407,f1_weighted,,1.0,2,81,0.0,LogisticRegression,False
study,3,0.7407,f1_weighted,,1.0,2,81,0.0,LogisticRegression,False
study,4,0.642,f1_weighted,,1.0,2,81,0.0,LogisticRegression,False
study,5,0.8125,f1_weighted,,1.0,2,80,0.0,LogisticRegression,False
age,1,-0.1454,r2,,0.9700281406144481,,67,0.0,Ridge,False
age,2,-0.0836,r2,,1.0015938256545578,,67,0.0,Ridge,False
age,3,-0.0682,r2,,0.9690391610083433,,67,0.0,Ridge,False
age,4,0.0774,r2,,0.9912752784617648,,67,0.0,Ridge,False
age,5,-0.129,r2,,0.9928198282705111,,67,0.0,Ridge,False
dx,1,0.4638,f1_weighted,,1.0,2,69,0.0,LogisticRegression,False
dx,2,0.5652,f1_weighted,,1.0,2,69,0.0,LogisticRegression,False
dx,3,0.4706,f1_weighted,,1.0,2,68,0.0,LogisticRegression,False
dx,4,0.4853,f1_weighted,,1.0,2,68,0.0,LogisticRegression,False
dx,5,0.5147,f1_weighted,,1.0,2,68,0.0,LogisticRegression,False
