variable,split,performance,metric,ibs,variance,num_classes,N,missing_rate,model,restored
sex,1,0.949,f1_weighted,,1.0,2,98,0.0,LogisticRegression,False
sex,2,0.9286,f1_weighted,,1.0,2,98,0.0,LogisticRegression,False
sex,3,0.8878,f1_weighted,,1.0,2,98,0.0,LogisticRegression,False
sex,4,0.9184,f1_weighted,,1.0,2,98,0.0,LogisticRegression,False
sex,5,0.9184,f1_weighted,,1.0,2,98,0.0,LogisticRegression,False
study,1,0.8025,f1_weighted,,1.0,2,81,0.0,LogisticRegression,False
study,2,0.7654,f1_weighted,,1.0,2,81,0.0,LogisticRegression,False
study,3,0.7654,f1_weighted,,1.0,2,81,0.0,LogisticRegression,False
study,4,0.7407,f1_weighted,,1.0,2,81,0.0,LogisticRegression,False
study,5,0.825,f1_weighted,,1.0,2,80,0.0,LogisticRegression,False
age,1,-0.1966,r2,,0.9700281406144481,,67,0.0,Ridge,False
age,2,-0.0719,r2,,1.0015938256545578,,67,0.0,Ridge,False
age,3,-0.0032,r2,,0.9690391610083433,,67,0.0,Ridge,False
age,4,-0.0274,r2,,0.9912752784617648,,67,0.0,Ridge,False
age,5,-0.0102,r2,,0.9928198282705111,,67,0.0,Ridge,False
dx,1,0.4928,f1_weighted,,1.0,2,69,0.0,LogisticRegression,False
dx,2,0.5217,f1_weighted,,1.0,2,69,0.0,LogisticRegression,False
dx,3,0.5,f1_weighted,,1.0,2,68,0.0,LogisticRegression,False
dx,4,0.4412,f1_weighted,,1.0,2,68,0.0,LogisticRegression,False
dx,5,0.4559,f1_weighted,,1.0,2,68,0.0,LogisticRegression,False
