variable,split,performance,metric,ibs,variance,num_classes,N,missing_rate,model,restored
IDH_glob_bin,1,0.9231,f1_weighted,,1.0,2,169,0.0,LogisticRegression,False
IDH_glob_bin,2,0.9231,f1_weighted,,1.0,2,169,0.0,LogisticRegression,False
IDH_glob_bin,3,0.8698,f1_weighted,,1.0,2,169,0.0,LogisticRegression,False
IDH_glob_bin,4,0.8817,f1_weighted,,1.0,2,169,0.0,LogisticRegression,False
IDH_glob_bin,5,0.9345,f1_weighted,,1.0,2,168,0.0,LogisticRegression,False
Sex,1,0.6723,f1_weighted,,1.0,2,119,0.0,LogisticRegression,False
Sex,2,0.6639,f1_weighted,,1.0,2,119,0.0,LogisticRegression,False
Sex,3,0.7373,f1_weighted,,1.0,2,118,0.0,LogisticRegression,False
Sex,4,0.6864,f1_weighted,,1.0,2,118,0.0,LogisticRegression,False
Sex,5,0.6271,f1_weighted,,1.0,2,118,0.0,LogisticRegression,False
death,1,0.6102,,0.20825358196296762,,,99,0.0,RandomSurvivalForest,False
death,2,0.5122,,0.2046356047345529,,,99,0.0,RandomSurvivalForest,False
death,3,0.5108,,0.20453254129656856,,,99,0.0,RandomSurvivalForest,False
death,4,0.6541,,0.21700273820335764,,,98,0.0,RandomSurvivalForest,False
death,5,0.6241,,0.2216372373766785,,,98,0.0,RandomSurvivalForest,False
