variable,split,performance,metric,ibs,variance,num_classes,N,missing_rate,model,restored
Volumetric_scaling_from_T1_head_image_to_standard_space,1,0.6584,r2,,1.0032816539328733,,3991,0.0,Ridge,False
Volumetric_scaling_from_T1_head_image_to_standard_space,2,0.6566,r2,,0.9980373991306021,,3991,0.0,Ridge,False
Volumetric_scaling_from_T1_head_image_to_standard_space,3,0.6644,r2,,0.998822632637593,,3991,0.0,Ridge,False
Volumetric_scaling_from_T1_head_image_to_standard_space,4,0.6555,r2,,0.9946060995534707,,3991,0.0,Ridge,False
Volumetric_scaling_from_T1_head_image_to_standard_space,5,0.6358,r2,,1.0054269740370327,,3991,0.0,Ridge,False
APOE,1,0.4994,f1_weighted,,1.5119,3,5701,0.0,LogisticRegression,False
APOE,2,0.5004,f1_weighted,,1.5119,3,5701,0.0,LogisticRegression,False
APOE,3,0.4968,f1_weighted,,1.5119,3,5701,0.0,LogisticRegression,False
APOE,4,0.4818,f1_weighted,,1.5119,3,5701,0.0,LogisticRegression,False
APOE,5,0.5064,f1_weighted,,1.5119,3,5701,0.0,LogisticRegression,False
DISC1,1,0.7958,f1_weighted,,1.4364,3,6899,0.0,LogisticRegression,False
DISC1,2,0.7948,f1_weighted,,1.4364,3,6899,0.0,LogisticRegression,False
DISC1,3,0.7934,f1_weighted,,1.4363,3,6898,0.0,LogisticRegression,False
DISC1,4,0.7921,f1_weighted,,1.4364,3,6898,0.0,LogisticRegression,False
DISC1,5,0.7943,f1_weighted,,1.4363,3,6898,0.0,LogisticRegression,False
MTHFR,1,0.4373,f1_weighted,,1.585,3,5330,0.0,LogisticRegression,False
MTHFR,2,0.4411,f1_weighted,,1.585,3,5330,0.0,LogisticRegression,False
MTHFR,3,0.4396,f1_weighted,,1.585,3,5330,0.0,LogisticRegression,False
MTHFR,4,0.428,f1_weighted,,1.585,3,5329,0.0,LogisticRegression,False
MTHFR,5,0.4389,f1_weighted,,1.585,3,5329,0.0,LogisticRegression,False
CR1,1,0.6813,f1_weighted,,1.4951,3,6558,0.0,LogisticRegression,False
CR1,2,0.6848,f1_weighted,,1.4951,3,6557,0.0,LogisticRegression,False
