variable,split,performance,metric,ibs,variance,num_classes,N,missing_rate,model,restored
IDH_glob_bin,1,0.99,f1_weighted,,1.0,2,200,0.16,LogisticRegression,False
IDH_glob_bin,2,0.975,f1_weighted,,1.0,2,200,0.16,LogisticRegression,False
IDH_glob_bin,3,0.985,f1_weighted,,1.0,2,200,0.16,LogisticRegression,False
IDH_glob_bin,4,0.9799,f1_weighted,,1.0,2,199,0.16,LogisticRegression,False
IDH_glob_bin,5,0.9799,f1_weighted,,1.0,2,199,0.16,LogisticRegression,False
Gender,1,0.6871,f1_weighted,,1.0,2,147,0.0,LogisticRegression,False
Gender,2,0.7279,f1_weighted,,1.0,2,147,0.0,LogisticRegression,False
Gender,3,0.6735,f1_weighted,,1.0,2,147,0.0,LogisticRegression,False
Gender,4,0.7347,f1_weighted,,1.0,2,147,0.0,LogisticRegression,False
Gender,5,0.7877,f1_weighted,,1.0,2,146,0.0,LogisticRegression,False
death,1,0.5441,,0.19339924040086323,,,91,0.26,RandomSurvivalForest,False
death,2,0.5293,,0.17905527187413595,,,91,0.26,RandomSurvivalForest,False
death,3,0.5289,,0.17755403294506272,,,90,0.26,RandomSurvivalForest,False
death,4,0.506,,0.19125513242343756,,,90,0.26,RandomSurvivalForest,False
death,5,0.5591,,0.18463270128749376,,,90,0.26,RandomSurvivalForest,False
