variable,split,performance,metric,ibs,variance,num_classes,N,missing_rate,model,restored
IDH_glob_bin,1,1.0,f1_weighted,,1.0,2,200,0.16,LogisticRegression,False
IDH_glob_bin,2,1.0,f1_weighted,,1.0,2,200,0.16,LogisticRegression,False
IDH_glob_bin,3,1.0,f1_weighted,,1.0,2,200,0.16,LogisticRegression,False
IDH_glob_bin,4,1.0,f1_weighted,,1.0,2,199,0.16,LogisticRegression,False
IDH_glob_bin,5,1.0,f1_weighted,,1.0,2,199,0.16,LogisticRegression,False
Gender,1,0.7075,f1_weighted,,1.0,2,147,0.0,LogisticRegression,False
Gender,2,0.7211,f1_weighted,,1.0,2,147,0.0,LogisticRegression,False
Gender,3,0.7279,f1_weighted,,1.0,2,147,0.0,LogisticRegression,False
Gender,4,0.6939,f1_weighted,,1.0,2,147,0.0,LogisticRegression,False
Gender,5,0.6575,f1_weighted,,1.0,2,146,0.0,LogisticRegression,False
death,1,0.4325,,0.19685276829386605,,,91,0.26,RandomSurvivalForest,False
death,2,0.4691,,0.1801704789103223,,,91,0.26,RandomSurvivalForest,False
death,3,0.4734,,0.17864148843699312,,,90,0.26,RandomSurvivalForest,False
death,4,0.4158,,0.19194172640464432,,,90,0.26,RandomSurvivalForest,False
death,5,0.4638,,0.1860011898013547,,,90,0.26,RandomSurvivalForest,False
