variable,split,performance,metric,ibs,variance,num_classes,N,missing_rate,model,restored
IDH_glob_bin,1,1.0,f1_weighted,,1.0,2,200,0.16,LogisticRegression,False
IDH_glob_bin,2,1.0,f1_weighted,,1.0,2,200,0.16,LogisticRegression,False
IDH_glob_bin,3,1.0,f1_weighted,,1.0,2,200,0.16,LogisticRegression,False
IDH_glob_bin,4,1.0,f1_weighted,,1.0,2,199,0.16,LogisticRegression,False
IDH_glob_bin,5,1.0,f1_weighted,,1.0,2,199,0.16,LogisticRegression,False
Gender,1,0.7347,f1_weighted,,1.0,2,147,0.0,LogisticRegression,False
Gender,2,0.7143,f1_weighted,,1.0,2,147,0.0,LogisticRegression,False
Gender,3,0.7415,f1_weighted,,1.0,2,147,0.0,LogisticRegression,False
Gender,4,0.7075,f1_weighted,,1.0,2,147,0.0,LogisticRegression,False
Gender,5,0.6986,f1_weighted,,1.0,2,146,0.0,LogisticRegression,False
death,1,0.4792,,0.19681497168546425,,,91,0.26,RandomSurvivalForest,False
death,2,0.4774,,0.17972871254231124,,,91,0.26,RandomSurvivalForest,False
death,3,0.4924,,0.17843598689431936,,,90,0.26,RandomSurvivalForest,False
death,4,0.3802,,0.1924898076586827,,,90,0.26,RandomSurvivalForest,False
death,5,0.5672,,0.18522310489408386,,,90,0.26,RandomSurvivalForest,False
