variable,split,performance,metric,ibs,variance,num_classes,N,missing_rate,model,restored
death,1,0.5546,,0.28104743099322055,,,34,0.01,RandomSurvivalForest,False
death,2,0.6497,,0.21990895904650434,,,33,0.01,RandomSurvivalForest,False
death,3,0.6381,,0.18684327645146648,,,33,0.01,RandomSurvivalForest,False
death,4,0.6304,,0.18759373615768565,,,33,0.01,RandomSurvivalForest,False
death,5,0.7073,,0.24985747197635932,,,33,0.01,RandomSurvivalForest,False
IDH_glob_bin,1,0.7556,f1_weighted,,1.0,2,45,0.0,RidgeClassifier,False
IDH_glob_bin,2,0.8444,f1_weighted,,1.0,2,45,0.0,RidgeClassifier,False
IDH_glob_bin,3,0.8636,f1_weighted,,1.0,2,44,0.0,RidgeClassifier,False
IDH_glob_bin,4,0.8409,f1_weighted,,1.0,2,44,0.0,RidgeClassifier,False
IDH_glob_bin,5,0.8409,f1_weighted,,1.0,2,44,0.0,RidgeClassifier,False
sex,1,0.4857,f1_weighted,,1.0,2,35,0.04,RidgeClassifier,False
sex,2,0.6,f1_weighted,,1.0,2,35,0.04,RidgeClassifier,False
sex,3,0.6,f1_weighted,,1.0,2,35,0.04,RidgeClassifier,False
sex,4,0.6286,f1_weighted,,1.0,2,35,0.04,RidgeClassifier,False
sex,5,0.8235,f1_weighted,,1.0,2,34,0.04,RidgeClassifier,False
grade,1,0.6341,f1_weighted,,1.0,2,41,0.0,RidgeClassifier,False
grade,2,0.8049,f1_weighted,,1.0,2,41,0.0,RidgeClassifier,False
grade,3,0.6585,f1_weighted,,1.0,2,41,0.0,RidgeClassifier,False
grade,4,0.8537,f1_weighted,,1.0,2,41,0.0,RidgeClassifier,False
grade,5,0.75,f1_weighted,,1.0,2,40,0.0,RidgeClassifier,False
