variable,split,performance,metric,ibs,variance,num_classes,N,missing_rate,model,restored
death,1,0.5961,,0.29456304864138194,,,34,0.01,RandomSurvivalForest,False
death,2,0.7378,,0.2167860656904183,,,33,0.01,RandomSurvivalForest,False
death,3,0.6105,,0.18518211061869558,,,33,0.01,RandomSurvivalForest,False
death,4,0.5645,,0.18615948329207313,,,33,0.01,RandomSurvivalForest,False
death,5,0.7344,,0.23867492851113586,,,33,0.01,RandomSurvivalForest,False
IDH_glob_bin,1,0.8667,f1_weighted,,1.0,2,45,0.0,RidgeClassifier,False
IDH_glob_bin,2,0.8889,f1_weighted,,1.0,2,45,0.0,RidgeClassifier,False
IDH_glob_bin,3,0.7955,f1_weighted,,1.0,2,44,0.0,RidgeClassifier,False
IDH_glob_bin,4,0.7273,f1_weighted,,1.0,2,44,0.0,RidgeClassifier,False
IDH_glob_bin,5,0.8409,f1_weighted,,1.0,2,44,0.0,RidgeClassifier,False
sex,1,0.6,f1_weighted,,1.0,2,35,0.04,RidgeClassifier,False
sex,2,0.7429,f1_weighted,,1.0,2,35,0.04,RidgeClassifier,False
sex,3,0.4571,f1_weighted,,1.0,2,35,0.04,RidgeClassifier,False
sex,4,0.6571,f1_weighted,,1.0,2,35,0.04,RidgeClassifier,False
sex,5,0.5882,f1_weighted,,1.0,2,34,0.04,RidgeClassifier,False
grade,1,0.7073,f1_weighted,,1.0,2,41,0.0,RidgeClassifier,False
grade,2,0.878,f1_weighted,,1.0,2,41,0.0,RidgeClassifier,False
grade,3,0.8293,f1_weighted,,1.0,2,41,0.0,RidgeClassifier,False
grade,4,0.8293,f1_weighted,,1.0,2,41,0.0,RidgeClassifier,False
grade,5,0.8,f1_weighted,,1.0,2,40,0.0,RidgeClassifier,False
