variable,split,performance,metric,ibs,variance,num_classes,N,missing_rate,model,restored
death,1,0.6638,,0.28650194699511417,,,34,0.01,RandomSurvivalForest,False
death,2,0.3225,,0.23545342715383094,,,33,0.01,RandomSurvivalForest,False
death,3,0.4586,,0.18987250459256907,,,33,0.01,RandomSurvivalForest,False
death,4,0.6447,,0.18933521590581104,,,33,0.01,RandomSurvivalForest,False
death,5,0.523,,0.262430477341544,,,33,0.01,RandomSurvivalForest,False
IDH_glob_bin,1,0.8444,f1_weighted,,1.0,2,45,0.0,RidgeClassifier,False
IDH_glob_bin,2,0.8,f1_weighted,,1.0,2,45,0.0,RidgeClassifier,False
IDH_glob_bin,3,0.9091,f1_weighted,,1.0,2,44,0.0,RidgeClassifier,False
IDH_glob_bin,4,0.8864,f1_weighted,,1.0,2,44,0.0,RidgeClassifier,False
IDH_glob_bin,5,0.9318,f1_weighted,,1.0,2,44,0.0,RidgeClassifier,False
sex,1,0.4,f1_weighted,,1.0,2,35,0.04,RidgeClassifier,False
sex,2,0.6857,f1_weighted,,1.0,2,35,0.04,RidgeClassifier,False
sex,3,0.4857,f1_weighted,,1.0,2,35,0.04,RidgeClassifier,False
sex,4,0.6,f1_weighted,,1.0,2,35,0.04,RidgeClassifier,False
sex,5,0.5882,f1_weighted,,1.0,2,34,0.04,RidgeClassifier,False
grade,1,0.7805,f1_weighted,,1.0,2,41,0.0,RidgeClassifier,False
grade,2,0.7073,f1_weighted,,1.0,2,41,0.0,RidgeClassifier,False
grade,3,0.7073,f1_weighted,,1.0,2,41,0.0,RidgeClassifier,False
grade,4,0.8049,f1_weighted,,1.0,2,41,0.0,RidgeClassifier,False
grade,5,0.85,f1_weighted,,1.0,2,40,0.0,RidgeClassifier,False
