variable,split,performance,metric,ibs,variance,num_classes,N,missing_rate,model,restored
Chr_19_20_co_gain,1,0.9636,f1_weighted,,1.0,2,55,0.08,LogisticRegression,False
Chr_19_20_co_gain,2,0.8909,f1_weighted,,1.0,2,55,0.08,LogisticRegression,False
Chr_19_20_co_gain,3,0.8727,f1_weighted,,1.0,2,55,0.08,LogisticRegression,False
Chr_19_20_co_gain,4,0.9636,f1_weighted,,1.0,2,55,0.08,LogisticRegression,False
Chr_19_20_co_gain,5,0.9074,f1_weighted,,1.0,2,54,0.08,LogisticRegression,False
MGMT_promoter_status,1,0.5484,f1_weighted,,1.0,2,31,0.26,LogisticRegression,False
MGMT_promoter_status,2,0.6452,f1_weighted,,1.0,2,31,0.26,LogisticRegression,False
MGMT_promoter_status,3,0.6333,f1_weighted,,1.0,2,30,0.26,LogisticRegression,False
MGMT_promoter_status,4,0.4667,f1_weighted,,1.0,2,30,0.26,LogisticRegression,False
MGMT_promoter_status,5,0.6667,f1_weighted,,1.0,2,30,0.26,LogisticRegression,False
IDH_glob_bin,1,0.8444,f1_weighted,,1.0,2,45,0.0,LogisticRegression,False
IDH_glob_bin,2,0.7778,f1_weighted,,1.0,2,45,0.0,LogisticRegression,False
IDH_glob_bin,3,0.6591,f1_weighted,,1.0,2,44,0.0,LogisticRegression,False
IDH_glob_bin,4,0.7955,f1_weighted,,1.0,2,44,0.0,LogisticRegression,False
IDH_glob_bin,5,0.7955,f1_weighted,,1.0,2,44,0.0,LogisticRegression,False
CDKN2A_bin,1,0.4571,f1_weighted,,1.0,2,35,0.0,LogisticRegression,False
CDKN2A_bin,2,0.4571,f1_weighted,,1.0,2,35,0.0,LogisticRegression,False
CDKN2A_bin,3,0.5588,f1_weighted,,1.0,2,34,0.0,LogisticRegression,False
CDKN2A_bin,4,0.5294,f1_weighted,,1.0,2,34,0.0,LogisticRegression,False
CDKN2A_bin,5,0.5588,f1_weighted,,1.0,2,34,0.0,LogisticRegression,False
IDH1_bin,1,0.7556,f1_weighted,,1.0,2,45,0.0,LogisticRegression,False
IDH1_bin,2,0.8444,f1_weighted,,1.0,2,45,0.0,LogisticRegression,False
IDH1_bin,3,0.8,f1_weighted,,1.0,2,45,0.0,LogisticRegression,False
IDH1_bin,4,0.7333,f1_weighted,,1.0,2,45,0.0,LogisticRegression,False
IDH1_bin,5,0.7727,f1_weighted,,1.0,2,44,0.0,LogisticRegression,False
death,1,0.524,,0.28738464447197015,,,34,0.01,RandomSurvivalForest,False
death,2,0.58,,0.22967250749519835,,,33,0.01,RandomSurvivalForest,False
death,3,0.6077,,0.18588646561367533,,,33,0.01,RandomSurvivalForest,False
death,4,0.6648,,0.18387108707249944,,,33,0.01,RandomSurvivalForest,False
death,5,0.6883,,0.2616872945254915,,,33,0.01,RandomSurvivalForest,False
Gender,1,0.6,f1_weighted,,1.0,2,35,0.04,LogisticRegression,False
Gender,2,0.6571,f1_weighted,,1.0,2,35,0.04,LogisticRegression,False
Gender,3,0.5143,f1_weighted,,1.0,2,35,0.04,LogisticRegression,False
Gender,4,0.4571,f1_weighted,,1.0,2,35,0.04,LogisticRegression,False
Gender,5,0.5,f1_weighted,,1.0,2,34,0.04,LogisticRegression,False
grade,1,0.7317,f1_weighted,,1.0,2,41,0.0,LogisticRegression,False
grade,2,0.6829,f1_weighted,,1.0,2,41,0.0,LogisticRegression,False
grade,3,0.7561,f1_weighted,,1.0,2,41,0.0,LogisticRegression,False
grade,4,0.7561,f1_weighted,,1.0,2,41,0.0,LogisticRegression,False
grade,5,0.675,f1_weighted,,1.0,2,40,0.0,LogisticRegression,False
ATRX_bin,1,0.8519,f1_weighted,,1.0,2,54,0.0,LogisticRegression,False
ATRX_bin,2,0.9074,f1_weighted,,1.0,2,54,0.0,LogisticRegression,False
ATRX_bin,3,0.8333,f1_weighted,,1.0,2,54,0.0,LogisticRegression,False
ATRX_bin,4,0.9434,f1_weighted,,1.0,2,53,0.0,LogisticRegression,False
ATRX_bin,5,0.8302,f1_weighted,,1.0,2,53,0.0,LogisticRegression,False
