variable,split,performance,metric,ibs,variance,num_classes,N,missing_rate,model,restored
Chr_19_20_co_gain,1,0.8727,f1_weighted,,1.0,2,55,0.08,LogisticRegression,False
Chr_19_20_co_gain,2,0.9636,f1_weighted,,1.0,2,55,0.08,LogisticRegression,False
Chr_19_20_co_gain,3,0.9273,f1_weighted,,1.0,2,55,0.08,LogisticRegression,False
Chr_19_20_co_gain,4,0.9818,f1_weighted,,1.0,2,55,0.08,LogisticRegression,False
Chr_19_20_co_gain,5,0.9074,f1_weighted,,1.0,2,54,0.08,LogisticRegression,False
MGMT_promoter_status,1,0.6774,f1_weighted,,1.0,2,31,0.26,LogisticRegression,False
MGMT_promoter_status,2,0.6452,f1_weighted,,1.0,2,31,0.26,LogisticRegression,False
MGMT_promoter_status,3,0.6333,f1_weighted,,1.0,2,30,0.26,LogisticRegression,False
MGMT_promoter_status,4,0.6,f1_weighted,,1.0,2,30,0.26,LogisticRegression,False
MGMT_promoter_status,5,0.6333,f1_weighted,,1.0,2,30,0.26,LogisticRegression,False
IDH_glob_bin,1,0.9111,f1_weighted,,1.0,2,45,0.0,LogisticRegression,False
IDH_glob_bin,2,0.8667,f1_weighted,,1.0,2,45,0.0,LogisticRegression,False
IDH_glob_bin,3,0.8864,f1_weighted,,1.0,2,44,0.0,LogisticRegression,False
IDH_glob_bin,4,0.8409,f1_weighted,,1.0,2,44,0.0,LogisticRegression,False
IDH_glob_bin,5,0.8864,f1_weighted,,1.0,2,44,0.0,LogisticRegression,False
CDKN2A_bin,1,0.6286,f1_weighted,,1.0,2,35,0.0,LogisticRegression,False
CDKN2A_bin,2,0.5714,f1_weighted,,1.0,2,35,0.0,LogisticRegression,False
CDKN2A_bin,3,0.3824,f1_weighted,,1.0,2,34,0.0,LogisticRegression,False
CDKN2A_bin,4,0.4118,f1_weighted,,1.0,2,34,0.0,LogisticRegression,False
CDKN2A_bin,5,0.5588,f1_weighted,,1.0,2,34,0.0,LogisticRegression,False
IDH1_bin,1,0.8667,f1_weighted,,1.0,2,45,0.0,LogisticRegression,False
IDH1_bin,2,0.8444,f1_weighted,,1.0,2,45,0.0,LogisticRegression,False
IDH1_bin,3,0.8222,f1_weighted,,1.0,2,45,0.0,LogisticRegression,False
IDH1_bin,4,0.8667,f1_weighted,,1.0,2,45,0.0,LogisticRegression,False
IDH1_bin,5,0.9091,f1_weighted,,1.0,2,44,0.0,LogisticRegression,False
death,1,0.548,,0.2871529836650959,,,34,0.01,RandomSurvivalForest,False
death,2,0.674,,0.2182772350918001,,,33,0.01,RandomSurvivalForest,False
death,3,0.5704,,0.18571642278872252,,,33,0.01,RandomSurvivalForest,False
death,4,0.6304,,0.1852069351358556,,,33,0.01,RandomSurvivalForest,False
death,5,0.7561,,0.2355854550685303,,,33,0.01,RandomSurvivalForest,False
Gender,1,0.6,f1_weighted,,1.0,2,35,0.04,LogisticRegression,False
Gender,2,0.8571,f1_weighted,,1.0,2,35,0.04,LogisticRegression,False
Gender,3,0.6286,f1_weighted,,1.0,2,35,0.04,LogisticRegression,False
Gender,4,0.7143,f1_weighted,,1.0,2,35,0.04,LogisticRegression,False
Gender,5,0.7941,f1_weighted,,1.0,2,34,0.04,LogisticRegression,False
grade,1,0.7317,f1_weighted,,1.0,2,41,0.0,LogisticRegression,False
grade,2,0.9268,f1_weighted,,1.0,2,41,0.0,LogisticRegression,False
grade,3,0.9024,f1_weighted,,1.0,2,41,0.0,LogisticRegression,False
grade,4,0.9512,f1_weighted,,1.0,2,41,0.0,LogisticRegression,False
grade,5,0.8,f1_weighted,,1.0,2,40,0.0,LogisticRegression,False
ATRX_bin,1,0.9444,f1_weighted,,1.0,2,54,0.0,LogisticRegression,False
ATRX_bin,2,0.9444,f1_weighted,,1.0,2,54,0.0,LogisticRegression,False
ATRX_bin,3,0.9074,f1_weighted,,1.0,2,54,0.0,LogisticRegression,False
ATRX_bin,4,0.9245,f1_weighted,,1.0,2,53,0.0,LogisticRegression,False
ATRX_bin,5,0.9245,f1_weighted,,1.0,2,53,0.0,LogisticRegression,False
