variable,split,performance,metric,ibs,variance,num_classes,N,missing_rate,model,restored
Chr_19_20_co_gain,1,1.0,f1_weighted,,1.0,2,55,0.08,LogisticRegression,False
Chr_19_20_co_gain,2,1.0,f1_weighted,,1.0,2,55,0.08,LogisticRegression,False
Chr_19_20_co_gain,3,1.0,f1_weighted,,1.0,2,55,0.08,LogisticRegression,False
Chr_19_20_co_gain,4,1.0,f1_weighted,,1.0,2,55,0.08,LogisticRegression,False
Chr_19_20_co_gain,5,1.0,f1_weighted,,1.0,2,54,0.08,LogisticRegression,False
MGMT_promoter_status,1,0.7742,f1_weighted,,1.0,2,31,0.26,LogisticRegression,False
MGMT_promoter_status,2,0.8065,f1_weighted,,1.0,2,31,0.26,LogisticRegression,False
MGMT_promoter_status,3,0.7,f1_weighted,,1.0,2,30,0.26,LogisticRegression,False
MGMT_promoter_status,4,0.7667,f1_weighted,,1.0,2,30,0.26,LogisticRegression,False
MGMT_promoter_status,5,0.7667,f1_weighted,,1.0,2,30,0.26,LogisticRegression,False
IDH_glob_bin,1,0.9333,f1_weighted,,1.0,2,45,0.0,LogisticRegression,False
IDH_glob_bin,2,0.8667,f1_weighted,,1.0,2,45,0.0,LogisticRegression,False
IDH_glob_bin,3,0.8409,f1_weighted,,1.0,2,44,0.0,LogisticRegression,False
IDH_glob_bin,4,0.9091,f1_weighted,,1.0,2,44,0.0,LogisticRegression,False
IDH_glob_bin,5,0.8409,f1_weighted,,1.0,2,44,0.0,LogisticRegression,False
CDKN2A_bin,1,0.4857,f1_weighted,,1.0,2,35,0.0,LogisticRegression,False
CDKN2A_bin,2,0.5714,f1_weighted,,1.0,2,35,0.0,LogisticRegression,False
CDKN2A_bin,3,0.5294,f1_weighted,,1.0,2,34,0.0,LogisticRegression,False
CDKN2A_bin,4,0.6176,f1_weighted,,1.0,2,34,0.0,LogisticRegression,False
CDKN2A_bin,5,0.5,f1_weighted,,1.0,2,34,0.0,LogisticRegression,False
IDH1_bin,1,0.8667,f1_weighted,,1.0,2,45,0.0,LogisticRegression,False
IDH1_bin,2,0.8444,f1_weighted,,1.0,2,45,0.0,LogisticRegression,False
IDH1_bin,3,0.8,f1_weighted,,1.0,2,45,0.0,LogisticRegression,False
IDH1_bin,4,0.8222,f1_weighted,,1.0,2,45,0.0,LogisticRegression,False
IDH1_bin,5,0.8636,f1_weighted,,1.0,2,44,0.0,LogisticRegression,False
death,1,0.4956,,0.2874289918246994,,,34,0.01,RandomSurvivalForest,False
death,2,0.5244,,0.2328626623020795,,,33,0.01,RandomSurvivalForest,False
death,3,0.5276,,0.1884585286901624,,,33,0.01,RandomSurvivalForest,False
death,4,0.4728,,0.1919388945217112,,,33,0.01,RandomSurvivalForest,False
death,5,0.523,,0.2635971893771432,,,33,0.01,RandomSurvivalForest,False
Gender,1,0.6571,f1_weighted,,1.0,2,35,0.04,LogisticRegression,False
Gender,2,0.5714,f1_weighted,,1.0,2,35,0.04,LogisticRegression,False
Gender,3,0.5714,f1_weighted,,1.0,2,35,0.04,LogisticRegression,False
Gender,4,0.3714,f1_weighted,,1.0,2,35,0.04,LogisticRegression,False
Gender,5,0.5882,f1_weighted,,1.0,2,34,0.04,LogisticRegression,False
grade,1,0.7073,f1_weighted,,1.0,2,41,0.0,LogisticRegression,False
grade,2,0.7317,f1_weighted,,1.0,2,41,0.0,LogisticRegression,False
grade,3,0.7561,f1_weighted,,1.0,2,41,0.0,LogisticRegression,False
grade,4,0.8049,f1_weighted,,1.0,2,41,0.0,LogisticRegression,False
grade,5,0.7,f1_weighted,,1.0,2,40,0.0,LogisticRegression,False
ATRX_bin,1,0.9815,f1_weighted,,1.0,2,54,0.0,LogisticRegression,False
ATRX_bin,2,0.9815,f1_weighted,,1.0,2,54,0.0,LogisticRegression,False
ATRX_bin,3,0.963,f1_weighted,,1.0,2,54,0.0,LogisticRegression,False
ATRX_bin,4,1.0,f1_weighted,,1.0,2,53,0.0,LogisticRegression,False
ATRX_bin,5,1.0,f1_weighted,,1.0,2,53,0.0,LogisticRegression,False
