variable,split,performance,metric,ibs,variance,num_classes,N,missing_rate,model,restored
Chr_19_20_co_gain,1,0.9455,f1_weighted,,1.0,2,55,0.08,LogisticRegression,False
Chr_19_20_co_gain,2,0.9455,f1_weighted,,1.0,2,55,0.08,LogisticRegression,False
Chr_19_20_co_gain,3,1.0,f1_weighted,,1.0,2,55,0.08,LogisticRegression,False
Chr_19_20_co_gain,4,0.9818,f1_weighted,,1.0,2,55,0.08,LogisticRegression,False
Chr_19_20_co_gain,5,0.963,f1_weighted,,1.0,2,54,0.08,LogisticRegression,False
MGMT_promoter_status,1,0.7419,f1_weighted,,1.0,2,31,0.26,LogisticRegression,False
MGMT_promoter_status,2,0.6452,f1_weighted,,1.0,2,31,0.26,LogisticRegression,False
MGMT_promoter_status,3,0.6667,f1_weighted,,1.0,2,30,0.26,LogisticRegression,False
MGMT_promoter_status,4,0.7,f1_weighted,,1.0,2,30,0.26,LogisticRegression,False
MGMT_promoter_status,5,0.7667,f1_weighted,,1.0,2,30,0.26,LogisticRegression,False
IDH_glob_bin,1,0.8889,f1_weighted,,1.0,2,45,0.0,LogisticRegression,False
IDH_glob_bin,2,0.9111,f1_weighted,,1.0,2,45,0.0,LogisticRegression,False
IDH_glob_bin,3,0.8409,f1_weighted,,1.0,2,44,0.0,LogisticRegression,False
IDH_glob_bin,4,0.8636,f1_weighted,,1.0,2,44,0.0,LogisticRegression,False
IDH_glob_bin,5,0.9318,f1_weighted,,1.0,2,44,0.0,LogisticRegression,False
CDKN2A_bin,1,0.5143,f1_weighted,,1.0,2,35,0.0,LogisticRegression,False
CDKN2A_bin,2,0.4571,f1_weighted,,1.0,2,35,0.0,LogisticRegression,False
CDKN2A_bin,3,0.5,f1_weighted,,1.0,2,34,0.0,LogisticRegression,False
CDKN2A_bin,4,0.5882,f1_weighted,,1.0,2,34,0.0,LogisticRegression,False
CDKN2A_bin,5,0.5,f1_weighted,,1.0,2,34,0.0,LogisticRegression,False
IDH1_bin,1,0.8889,f1_weighted,,1.0,2,45,0.0,LogisticRegression,False
IDH1_bin,2,0.8667,f1_weighted,,1.0,2,45,0.0,LogisticRegression,False
IDH1_bin,3,0.8222,f1_weighted,,1.0,2,45,0.0,LogisticRegression,False
IDH1_bin,4,0.9111,f1_weighted,,1.0,2,45,0.0,LogisticRegression,False
IDH1_bin,5,0.8636,f1_weighted,,1.0,2,44,0.0,LogisticRegression,False
death,1,0.6026,,0.28295719290255467,,,34,0.01,RandomSurvivalForest,False
death,2,0.7842,,0.2183968869672881,,,33,0.01,RandomSurvivalForest,False
death,3,0.5856,,0.1883519351682252,,,33,0.01,RandomSurvivalForest,False
death,4,0.6819,,0.18325039855133415,,,33,0.01,RandomSurvivalForest,False
death,5,0.7507,,0.2517728142513431,,,33,0.01,RandomSurvivalForest,False
Gender,1,0.6286,f1_weighted,,1.0,2,35,0.04,LogisticRegression,False
Gender,2,0.8,f1_weighted,,1.0,2,35,0.04,LogisticRegression,False
Gender,3,0.7429,f1_weighted,,1.0,2,35,0.04,LogisticRegression,False
Gender,4,0.6571,f1_weighted,,1.0,2,35,0.04,LogisticRegression,False
Gender,5,0.6471,f1_weighted,,1.0,2,34,0.04,LogisticRegression,False
grade,1,0.8537,f1_weighted,,1.0,2,41,0.0,LogisticRegression,False
grade,2,0.9512,f1_weighted,,1.0,2,41,0.0,LogisticRegression,False
grade,3,0.878,f1_weighted,,1.0,2,41,0.0,LogisticRegression,False
grade,4,0.878,f1_weighted,,1.0,2,41,0.0,LogisticRegression,False
grade,5,0.825,f1_weighted,,1.0,2,40,0.0,LogisticRegression,False
ATRX_bin,1,0.8704,f1_weighted,,1.0,2,54,0.0,LogisticRegression,False
ATRX_bin,2,0.9815,f1_weighted,,1.0,2,54,0.0,LogisticRegression,False
ATRX_bin,3,0.9815,f1_weighted,,1.0,2,54,0.0,LogisticRegression,False
ATRX_bin,4,0.9434,f1_weighted,,1.0,2,53,0.0,LogisticRegression,False
ATRX_bin,5,0.9434,f1_weighted,,1.0,2,53,0.0,LogisticRegression,False
