variable,split,performance,metric,ibs,variance,num_classes,N,missing_rate,model,restored
Chr_19_20_co_gain,1,1.0,f1_weighted,,1.0,2,55,0.08,LogisticRegression,False
Chr_19_20_co_gain,2,1.0,f1_weighted,,1.0,2,55,0.08,LogisticRegression,False
Chr_19_20_co_gain,3,1.0,f1_weighted,,1.0,2,55,0.08,LogisticRegression,False
Chr_19_20_co_gain,4,1.0,f1_weighted,,1.0,2,55,0.08,LogisticRegression,False
Chr_19_20_co_gain,5,1.0,f1_weighted,,1.0,2,54,0.08,LogisticRegression,False
MGMT_promoter_status,1,0.7097,f1_weighted,,1.0,2,31,0.26,LogisticRegression,False
MGMT_promoter_status,2,0.871,f1_weighted,,1.0,2,31,0.26,LogisticRegression,False
MGMT_promoter_status,3,0.8,f1_weighted,,1.0,2,30,0.26,LogisticRegression,False
MGMT_promoter_status,4,0.8,f1_weighted,,1.0,2,30,0.26,LogisticRegression,False
MGMT_promoter_status,5,0.7333,f1_weighted,,1.0,2,30,0.26,LogisticRegression,False
IDH_glob_bin,1,0.9556,f1_weighted,,1.0,2,45,0.0,LogisticRegression,False
IDH_glob_bin,2,0.8444,f1_weighted,,1.0,2,45,0.0,LogisticRegression,False
IDH_glob_bin,3,0.8409,f1_weighted,,1.0,2,44,0.0,LogisticRegression,False
IDH_glob_bin,4,0.9091,f1_weighted,,1.0,2,44,0.0,LogisticRegression,False
IDH_glob_bin,5,0.9318,f1_weighted,,1.0,2,44,0.0,LogisticRegression,False
CDKN2A_bin,1,0.5143,f1_weighted,,1.0,2,35,0.0,LogisticRegression,False
CDKN2A_bin,2,0.5429,f1_weighted,,1.0,2,35,0.0,LogisticRegression,False
CDKN2A_bin,3,0.4706,f1_weighted,,1.0,2,34,0.0,LogisticRegression,False
CDKN2A_bin,4,0.6471,f1_weighted,,1.0,2,34,0.0,LogisticRegression,False
CDKN2A_bin,5,0.5588,f1_weighted,,1.0,2,34,0.0,LogisticRegression,False
IDH1_bin,1,0.7778,f1_weighted,,1.0,2,45,0.0,LogisticRegression,False
IDH1_bin,2,0.8667,f1_weighted,,1.0,2,45,0.0,LogisticRegression,False
IDH1_bin,3,0.8,f1_weighted,,1.0,2,45,0.0,LogisticRegression,False
IDH1_bin,4,0.8667,f1_weighted,,1.0,2,45,0.0,LogisticRegression,False
IDH1_bin,5,0.8864,f1_weighted,,1.0,2,44,0.0,LogisticRegression,False
death,1,0.4738,,0.2872673878210833,,,34,0.01,RandomSurvivalForest,False
death,2,0.4223,,0.23354055448274466,,,33,0.01,RandomSurvivalForest,False
death,3,0.5138,,0.1889990813533421,,,33,0.01,RandomSurvivalForest,False
death,4,0.4527,,0.19167535520403584,,,33,0.01,RandomSurvivalForest,False
death,5,0.5772,,0.2628373482663063,,,33,0.01,RandomSurvivalForest,False
Gender,1,0.5143,f1_weighted,,1.0,2,35,0.04,LogisticRegression,False
Gender,2,0.6857,f1_weighted,,1.0,2,35,0.04,LogisticRegression,False
Gender,3,0.5429,f1_weighted,,1.0,2,35,0.04,LogisticRegression,False
Gender,4,0.6,f1_weighted,,1.0,2,35,0.04,LogisticRegression,False
Gender,5,0.6765,f1_weighted,,1.0,2,34,0.04,LogisticRegression,False
grade,1,0.8049,f1_weighted,,1.0,2,41,0.0,LogisticRegression,False
grade,2,0.7805,f1_weighted,,1.0,2,41,0.0,LogisticRegression,False
grade,3,0.7317,f1_weighted,,1.0,2,41,0.0,LogisticRegression,False
grade,4,0.8049,f1_weighted,,1.0,2,41,0.0,LogisticRegression,False
grade,5,0.7,f1_weighted,,1.0,2,40,0.0,LogisticRegression,False
ATRX_bin,1,0.9444,f1_weighted,,1.0,2,54,0.0,LogisticRegression,False
ATRX_bin,2,0.9815,f1_weighted,,1.0,2,54,0.0,LogisticRegression,False
ATRX_bin,3,1.0,f1_weighted,,1.0,2,54,0.0,LogisticRegression,False
ATRX_bin,4,1.0,f1_weighted,,1.0,2,53,0.0,LogisticRegression,False
ATRX_bin,5,1.0,f1_weighted,,1.0,2,53,0.0,LogisticRegression,False
